time	V(in)	V(out)	V(out)*(Id(M1)+Id(M2))
0.000000000000000e+000	0.000000e+000	1.800000e+000	1.092990e-011
2.995931343840702e-004	2.995931e-002	1.799795e+000	4.054785e-008
5.991862687681405e-004	5.991863e-002	1.798762e+000	1.615717e-007
8.987794031522108e-004	8.987794e-002	1.796899e+000	3.627765e-007
1.198372537536281e-003	1.198373e-001	1.794208e+000	6.436331e-007
1.497965671920351e-003	1.497966e-001	1.790687e+000	1.003390e-006
1.797558806304422e-003	1.797559e-001	1.786338e+000	1.441073e-006
2.097151940688491e-003	2.097152e-001	1.781159e+000	1.955485e-006
4.194303881376982e-003	4.194304e-001	1.723175e+000	6.628812e-006
5.805696118623019e-003	5.805696e-001	1.643806e+000	1.131609e-005
6.777215525507927e-003	6.777216e-001	1.557267e+000	1.448250e-005
8.056961186230184e-003	8.056961e-001	1.426108e+000	1.892589e-005
1.000000000000000e-002	1.000000e+000	1.283939e+000	2.595960e-005
1.019430388137698e-002	1.000000e+000	1.284681e+000	2.580239e-005
1.058291164413095e-002	1.000000e+000	1.285074e+000	2.571908e-005
2.518558039995177e-002	1.000000e+000	1.285114e+000	2.571083e-005
3.978824915577259e-002	1.000000e+000	1.285144e+000	2.570457e-005
5.439091791159342e-002	1.000000e+000	1.285165e+000	2.570030e-005
6.899358666741425e-002	1.000000e+000	1.285176e+000	2.569801e-005
8.359625542323507e-002	1.000000e+000	1.285177e+000	2.569770e-005
9.819892417905589e-002	1.000000e+000	1.285169e+000	2.569937e-005
1.128015929348767e-001	1.000000e+000	1.285151e+000	2.570303e-005
1.010000000000000e+000	1.000000e+000	1.285151e+000	2.570303e-005
1.011000000000000e+000	9.000000e-001	1.341044e+000	2.204119e-005
1.013000000000000e+000	7.000000e-001	1.515346e+000	1.579192e-005
1.016000000000000e+000	4.000000e-001	1.698996e+000	7.474513e-006
1.020000000000000e+000	0.000000e+000	1.800027e+000	-1.749449e-009
1.020400000000000e+000	0.000000e+000	1.800077e+000	-4.993195e-009
1.022800000000000e+000	0.000000e+000	1.800000e+000	1.157244e-011
2.000000000000000e+000	0.000000e+000	1.800000e+000	1.299600e-011
2.000953125000000e+000	9.531250e-002	1.794147e+000	6.508103e-007
2.002859375000000e+000	2.859375e-001	1.753725e+000	3.976990e-006
2.006187500000000e+000	6.187500e-001	1.585263e+000	1.415129e-005
2.010000000000000e+000	1.000000e+000	1.285103e+000	2.571303e-005
2.011143750000000e+000	1.000000e+000	1.285074e+000	2.571909e-005
2.028362499999999e+000	1.000000e+000	1.285112e+000	2.571118e-005
2.045581249999999e+000	1.000000e+000	1.285141e+000	2.570515e-005
