time	V(N001,y)*Id(M2)+V(a,y)*Ig(M2)+V(N001,y)*Ib(M2)
0.000000000000000e+000	1.849304e-017
1.048575970344245e-003	-1.049645e-010
2.097151940688491e-003	-7.724523e-011
4.194303881376982e-003	1.350175e-008
5.805696118623019e-003	1.937684e-007
6.777215525507927e-003	7.651192e-007
8.056961186230184e-003	3.255032e-006
1.000000000000000e-002	1.294057e-005
1.010000000000000e+000	1.297546e-005
1.010726561555015e+000	8.126764e-006
1.012179684665045e+000	2.887580e-006
1.015085930885104e+000	2.668178e-007
1.020000000000000e+000	9.579047e-011
2.000000000000000e+000	7.207796e-015
2.000953125000000e+000	-7.006512e-011
2.002859375000000e+000	8.850193e-009
2.006187500000000e+000	1.205321e-006
2.010000000000000e+000	1.297489e-005
3.010000000000000e+000	1.297546e-005
3.010726561546298e+000	8.126764e-006
3.012179684638896e+000	2.887580e-006
3.015085930824090e+000	2.668178e-007
3.020000000000000e+000	9.579047e-011
4.000000000000000e+000	7.207796e-015
4.000953125000000e+000	-7.006512e-011
4.002859375000000e+000	8.850193e-009
4.006187499999999e+000	1.205321e-006
4.010000000000000e+000	1.297489e-005
5.010000000000000e+000	1.297546e-005
5.010726561546298e+000	8.126764e-006
5.012179684638896e+000	2.887580e-006
5.015085930824089e+000	2.668178e-007
5.020000000000000e+000	9.579047e-011
6.000000000000000e+000	7.207796e-015
6.000953125000000e+000	-7.006512e-011
6.002859375000000e+000	8.850193e-009
6.006187499999999e+000	1.205321e-006
6.010000000000000e+000	1.297489e-005
7.010000000000000e+000	1.297546e-005
7.010726561546298e+000	8.126764e-006
7.012179684638896e+000	2.887580e-006
7.015085930824089e+000	2.668178e-007
7.020000000000000e+000	9.579047e-011
8.000000000000000e+000	7.207796e-015
8.000953125000001e+000	-7.006512e-011
8.002859375000000e+000	8.850193e-009
8.006187499999999e+000	1.205321e-006
8.010000000000000e+000	1.297489e-005
9.010000000000000e+000	1.297546e-005
9.010726561546299e+000	8.126764e-006
9.012179684638896e+000	2.887580e-006
9.015085930824093e+000	2.668178e-007
9.020000000000000e+000	9.579047e-011
1.000000000000000e+001	7.207796e-015
1.000095312500000e+001	-7.006512e-011
1.000285937500000e+001	8.850193e-009
1.000618750000000e+001	1.205321e-006
1.001000000000000e+001	1.297489e-005
1.101000000000000e+001	1.297546e-005
1.101072656154630e+001	8.126764e-006
1.101217968463890e+001	2.887580e-006
1.101508593082409e+001	2.668178e-007
1.102000000000000e+001	9.579047e-011
1.200000000000000e+001	7.207796e-015
1.200095312500000e+001	-7.006512e-011
1.200285937500000e+001	8.850193e-009
1.200618750000000e+001	1.205321e-006
1.201000000000000e+001	1.297489e-005
1.301000000000000e+001	1.297546e-005
1.301072656154630e+001	8.126764e-006
1.301217968463890e+001	2.887580e-006
1.301508593082409e+001	2.668178e-007
1.302000000000000e+001	9.579047e-011
1.400000000000000e+001	7.207796e-015
1.400095312500000e+001	-7.006512e-011
1.400285937500000e+001	8.850193e-009
1.400618750000000e+001	1.205321e-006
1.401000000000000e+001	1.297489e-005
1.501000000000000e+001	1.297546e-005
1.501072656154630e+001	8.126764e-006
1.501217968463890e+001	2.887580e-006
1.501508593082409e+001	2.668178e-007
1.502000000000000e+001	9.579047e-011
1.600000000000000e+001	7.207796e-015
1.600095312500000e+001	-7.006512e-011
1.600285937500000e+001	8.850193e-009
1.600618750000000e+001	1.205321e-006
1.601000000000000e+001	1.297489e-005
1.644417499999998e+001	1.297546e-005
1.701000000000000e+001	1.297546e-005
1.701072656154630e+001	8.126764e-006
1.701217968463890e+001	2.887580e-006
1.701508593082409e+001	2.668178e-007
1.702000000000000e+001	9.579047e-011
1.800000000000000e+001	7.207796e-015
1.800095312500000e+001	-7.006512e-011
1.800285937500000e+001	8.850193e-009
1.800618750000000e+001	1.205321e-006
1.801000000000000e+001	1.297489e-005
1.901000000000000e+001	1.297546e-005
1.901072656154630e+001	8.126764e-006
1.901217968463890e+001	2.887580e-006
1.901508593082409e+001	2.668178e-007
1.902000000000000e+001	9.579047e-011
1.999046875000000e+001	-3.091670e-022
2.000000000000000e+001	-2.117582e-021
